Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.9,17.6,196.0,4700.0,MALE,8.63259,-26.23027,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.1,15.1,215.0,5100.0,MALE,7.83733,-25.42826,
Adelie Penguin (Pygoscelis adeliae),Torgersen,No,38.5,17.9,190.0,3325.0,FEMALE,8.9846,-25.57956,Nest never observed with full clutch.
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.4,15.0,216.0,4700.0,FEMALE,8.47938,-26.9547,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.8,17.3,180.0,3700.0,,,,No blood sample obtained.
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.3,18.2,197.0,3750.0,MALE,8.63701,-24.84059,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.2,17.5,187.0,3650.0,FEMALE,9.61734,-24.66188,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.7,18.9,184.0,3550.0,MALE,8.85699,-25.80208,
Gentoo penguin (Pygoscelis papua),Biscoe,No,40.9,13.7,214.0,4650.0,FEMALE,8.19579,-25.3933,
Gentoo penguin (Pygoscelis papua),Biscoe,No,45.5,13.9,210.0,4200.0,FEMALE,8.47829,-26.61788,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,14.4,217.0,4900.0,FEMALE,8.48789,-26.83006,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.3,21.1,195.0,4400.0,MALE,8.74802,-26.37809,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.3,14.0,208.0,4575.0,FEMALE,8.4207,-26.38092,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.8,15.9,229.0,5950.0,MALE,8.29226,-26.21019,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.7,19.0,195.0,3450.0,FEMALE,9.18528,-25.06691,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.5,14.2,209.0,4600.0,FEMALE,8.39299,-26.78733,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,55.1,16.0,230.0,5850.0,MALE,8.08354,-26.18161,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.3,13.8,208.0,4200.0,FEMALE,8.65015,-26.79053,
Adelie Penguin (Pygoscelis adeliae),Dream,No,39.8,19.1,184.0,4650.0,MALE,,,Nest never observed with full clutch. Not enough blood for isotopes.
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.2,18.7,198.0,3775.0,FEMALE,9.39305,-24.25255,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.2,17.0,176.0,3450.0,FEMALE,9.30722,-25.61039,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.1,19.0,182.0,3425.0,MALE,,,Not enough blood for isotopes.
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.3,19.2,193.0,3650.0,MALE,9.29078,-24.7557,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.1,19.1,188.0,4100.0,MALE,8.71078,-25.81012,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.5,16.1,224.0,5650.0,MALE,8.83352,-25.69195,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.9,17.9,196.0,3675.0,FEMALE,9.43684,-24.16566,
Gentoo penguin (Pygoscelis papua),Biscoe,No,47.2,13.7,214.0,4925.0,FEMALE,7.99184,-26.20538,
Gentoo penguin (Pygoscelis papua),Biscoe,No,50.5,15.9,225.0,5400.0,MALE,8.65803,-26.57585,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.8,14.6,210.0,4200.0,FEMALE,7.79958,-25.62618,
Adelie Penguin (Pygoscelis adeliae),Biscoe,No,40.5,18.9,180.0,3950.0,MALE,8.90027,-25.11609,Nest never observed with full clutch.
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.4,14.4,203.0,4625.0,FEMALE,8.16582,-26.13971,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.8,14.2,219.0,4700.0,FEMALE,8.60447,-26.61601,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.8,18.5,195.0,4250.0,MALE,8.2993,-26.38986,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.9,17.1,190.0,3575.0,FEMALE,9.12277,-24.90024,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.7,17.3,193.0,3600.0,FEMALE,9.415,-24.805,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.0,15.2,218.0,5700.0,MALE,8.2554,-25.40075,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.1,14.5,212.0,4625.0,FEMALE,8.35802,-26.2766,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.5,15.2,216.0,5000.0,FEMALE,8.24691,-26.18466,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,49.5,19.0,200.0,3800.0,MALE,9.63074,-24.34684,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227,
Adelie Penguin (Pygoscelis adeliae),Torgersen,No,43.1,19.2,197.0,3500.0,MALE,8.86495,-26.1396,Nest never observed with full clutch.
Adelie Penguin (Pygoscelis adeliae),Torgersen,No,35.9,16.6,190.0,3050.0,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.9,19.5,206.0,3950.0,MALE,,-23.78767,
Adelie Penguin (Pygoscelis adeliae),Dream,No,39.7,17.9,193.0,4250.0,MALE,9.25769,-25.88798,Nest never observed with full clutch.
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.0,17.9,190.0,3450.0,FEMALE,8.19539,-26.17213,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,42.2,19.5,197.0,4275.0,MALE,8.80186,-26.41218,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,53.4,15.8,219.0,5500.0,MALE,8.41017,-26.33867,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.1,17.0,181.0,3175.0,FEMALE,9.79532,-25.27385,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.7,18.4,190.0,3900.0,MALE,9.29808,-25.23453,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,43.5,18.1,202.0,3400.0,FEMALE,9.37608,-24.40753,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.2,18.8,202.0,3800.0,MALE,9.74492,-24.404,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,35.7,17.0,189.0,3350.0,FEMALE,8.96436,-23.90309,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.0,16.3,230.0,5700.0,MALE,8.14756,-25.39369,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,14.8,217.0,5200.0,FEMALE,8.58487,-26.5929,
